texts,labels
никогда не говорите что вы читали кастанеду пока не прочитаете его до конца карлоса можно понимать или не понимать принимать или не принимать но учение дона хуана это отнюдь не учение о галлюциногенных растениях подобное мнение складывается у большинства людей прочитавших лишь первую книгу это учение о другом восприятии мира каждая следующая книга затягивает в этот мир все больше и больше раскрывая новый смысл уже описанных событий,9
если вас не смутит огромное количество нецензурной лексики кстати никогда не предполагала что в английском языке есть столько матерных слов то эта книга заставит вас хохотать даже в общественном транспорте имхо,8
суперпарочка дживс и вустер никогда не дадут соскучиться такое количество передряг и мастерских выпутываний из них это не талант это гениальность юмор английский не тупой но смеяться меньше получаса над каждой строчкой не получится так что готовьтесь к нагрузке на мышцы пресса,10
отличная книга главный герой просто молодец выпутывается из сложных ситуаций мастерски владеет древним боевым искусством и никогда не забывает что человек всю жизнь играет представление для богов в общем любителям фэнтези читать обязательно,9
никогда еще я не отложила в сторону какойлибо книги акунина пролистав или пррочитав несколько страниц я не причисляю себя к лику постоянно и страстно читающих очень разборчива в литературе аллергически реагирую на нынешний бурный поток низкопробных боевиков триллеров и любовных романов на родном языке с вопящими названиями и обложками но коль скоро я увижу где бы то ни было книгу б акунина мною еще не читанную я замолкаю на полуслове замираю на полдвижении и не выхожу из транса пока не проглочу изощренность сюжета полетная динамика и элегантность изложения узнаваемость характеров и ситуаций но только в момент их вззникновения и ни секундой раньше привязывают к книгам акунина невидимыми путами ностальгическая нехарактерная современным детективам эпоха не располагавшая развернутым криминальнотехническим арсеналом и компьютерной техникой заменены в совершенно гениальной пропорции фокусировкой на обворожительно неординарную личность сыскных дел мастера эраста фандорина троюродного коллегу известного лондонского сыщика шерлока холмса но более молодого страстного динамичного и блистательного чем его западный потускневший собрат,10
перед чем человек бессилен что вселяет в него ужас и трепет перед чем человеческое существо сгибает голову не в силах противостоять конечно перед природой перед силами стихии перед огромными волнами мореокеана я бы никогда и ни за что не поверила если бы мне сказали что комуто оказалось под силу зарисовать морскую мощь словами заключив ее в объятья романа и не верила пока не прочла книгу которая полностью поменяла мои представления о человеческом таланте… потому что написать такое под силу только настоящему мастеру слова я прочла «мореокеан» алессандро барикко удивительный роман глубокий практически притча в которой сюжетные линии получившие начало так далеко друг от друга в конце сплетаются вместе и начинают бороться за свое существование… романсказка в котором не веришь не единому слову но какаято высшая сила помогает чувствовать все происходящее… и вот ты уже начинаешь задумываться о том как же попасть на этот маленький островок потерявшийся в просторах океана а ведь сначала он был просто выдумкой игрой воображения произведениестихия как будто сама природа шептала слова автору и он писал ее потрет искусный своеобразный ни на что непохожий надо отметить что стиль повествования – это чтото невероятное иногда даже забываешь о сюжетной линии и просто наслаждаешься языком на котором исполнено это произведение слова оживают и начинают переливаться как будто водная гладь под лучам яркого солнца… хочется читать роман «мореокеан» вслух чтобы навсегда запечатлеть такую красоту на губах… вывод один – читать и наслаждаться наслаждаться романом в руках и всплесками волн которые раздаются с открытых страниц… ps такую красоту перевела с итальянского гкиселева спасибо ей,8
саймон хорош как никогда это самое неожиданное и вероятно одно из самых непредсказуемых его произведений вы начинаете его читать и готовитесь к комедии с юморными подкалываниями шуточками беззлобными приколами ведь что может быть глупее принца на единороге и принцессы из замка которой этот единорог как транспортное средство явно не подходит однако нет автор приготовил нам другое гдето с третьей главы начинается настоящий хоррор пахнущий страхом кровью и завалами трупов как человеческих так и демонических приятного вам путешествия по лесному королевству в те времена когда над ним восходит голубая луна,10
никогда не знаешь где найдешь где потеряешь бы малой да не казистый стал вдруг бритый чистый так размышлял один из главных героев романа на которого обрушилась манна небесная в лице господина фандорина который стал невольным свидетелм дела о прекраснейшей и загодочной женщине имя которой смерть шерше ля фам как говорят французы,9
конечно о любом романе генриха бёлля можно сказать «это очень грустная книга» все книги генриха бёлля оставляют как кофе во рту в душе вкус светлой грусти и печали а тебе остается только гадать что это за печаль печаль старца что взирает на суету мира понимая что все это суета и грустно ему что не понимают этого другие или печаль мужа вдруг понявшего что никогда больше он не встретится с детством что свет прошедшего больше не озарит полумглы нынешнего но что может быть печальнее печали во взгляде клоуна вдруг обнаружившего в улыбках зрителей не смех а жалость чем заканчивается «глазами клоуна» ганс шнир вђ“ сын миллионера он садится на ступенях вокзала с протянутой шляпой как мерсо осужденный на смертную казнь за нежелание принимать лицемерные правила жизни ганс шнир так и останется белой вороной сидеть на вокзале и распевать дурацкие песни ему просто нужны деньгивђ¦ в реальном времени всё действие романа «глазами клоуна» происходит в течение двух дней и практически в одном месте четырех стенах квартиры все действительные события книги связаны с воспоминаниями ганса шнира и единственный кто появляется в реальном повествовании а не в воспоминаниях отец и в конце своего рассказа ганс шнир говорит «жалел я одного только отца» да полноте реальны ли они все дургие реальна ли мария лео моника зильвс зоммервильд кинкель и фредебейль живые ли они люди в центре повествования молодой человек который говорит по телефону и от лица которого ведется рассказ ганс шнир клоун не по профессии тем более что клоун не в нашем понимании он вђ“ скорее мим но по духу что отвращает его от лицемерия послевоенного общества ганс шнир потеряв любимую женщину которую «увели» католические друзья спасая ее от проклятия божьего веру в святость родителей доверие к религиозным постулатам бросает вызов кому да нет не вызов это вовсе ибо драться он не в силах разве «вызов» клоуна на сцене воспринимают настоящий как вызов скажите что можно увидеть глазами клоуна можно ли увидеть сцену на которую смотрят все люди с мыслью что сцена вђ“ это отражение жизни нет глазами клоуна можно увидеть зрительный зал тех кто пришел посмеяться над клоуном кто в этот момент не успел или не захотел надеть привычную маску кто не облачился в доспехи лицемерия и цинизма именно такими ганс шнир видит большинство тех кто его окружает да он сам не идеален он совершает множество глупостей например дает грудному ребенку молоко с сырым яйцом но он делает это искренне он однолюб ему приходится оправдываться перед католическими деятелями за то что он любил и будет любить только одну женщину вђ“ свою ушедшую жену и в этом смысле он больший праведник нежели они прикрывающиеся теологическими постулатами все о чем хотел сказать генрих бёлль «глазами клоуна» это старую истину которую так важно было вспомнить послевоенной германии что все хорошее и плохое оно внутри человека а если за это начинает бороться официальная церковь государственная власть вђ“ все лучшее наполняется цинизмом и лицемерием и превращается в инструмент манипуляции а чем манипуляция религиозная лучше манипуляции расовой,9
дом понятие очень точное это здание где живет человек дом понятие расплывчатое это абстрактное место где он обитает или где он родился а может быть место где покоится прах его предков бывают странные исключения когда дом это неизведанное и неизвестное место где человек никогда не был но к которому всегда стремился у каждого человека есть дом вернее человек верит в то что у него есть дом оказывается каждому он нужен и каждый ищет его в этом смысл в этом смысл книги американского писателя майкла каннингема дом на краю света роман вышедший в америке в 1990 году в россии появился в журнале иностранная литература в 1997 году спустя девять дет после первого романа дом на краю света майкл каннингем за второй роман часы посвященный вирджинии вульф получил пулицировскую премию и вот майкл каннингем один их самых популярных современных писателей в америке формально в романе два главных героя бобби и джонатан однако по сути основу идеологии автора несет джонатан он поиск дома он стремление к обычным бытовым жизненным ценностям бобби же это само течение жизни человек принимающий любые жизненные изменения за данность и не стремящийся понять и изменить их бобби принимает любовь джонатана становится гомосексуалистом а после поддается любви клэр бобби просто живет целыми днями он слушает музыку в ней он растворяется как в жизни джонатану нужно понять то что он делает зачем он это делает что происходит вокруг он стремится к познанию поэтому не может остановиться на какомто одном варианте жизни он ищет дом и в конце книги обретает некое подобие покоя дом на краю света написан от первого лица всех значимых героев бобби джонатана элис клэр что создает мозаичную структуру текста это позволяет увидеть историю жизни поколения родившегося в конце 50ых с разных сторон и точек зрения роман это жизнь бобби и джонатана она родились и выросли в кливленде познакомились в школе подружились привыкли друг к другу и восприняли это как любовь очень изящно описано зарождение влечения джонатана и бобби и их первая любовь они живут себе спокойненько курят травку и слушают музыку именно тогда происходит их столкновение и схождение с матерью джонатана элис она пытается понять и принять новое поколение но разочарованная отступает после школы джонатан уезжает в ньюйорк бобби остается в кливленде и живет с родителями своего друга поскольку к тому времени у него умерли брат мать и отец замечательно описан эпизод смерти брата это абсурд и классическая трагедия одновременно нед и элис уезжают из кливленда бобби отправляется в ньюйорк к джонатану в конце концов они находят дом или иллюзию дома но у них нет будущего они последние скитальцы и искатели дом на краю света майкла каннингема это изящная книга язык порой очаровывает вђ¦ полиэтиленовые пакеты болтавшиеся потом на солнце как ручные медузы правда иногда он переходит к нарочитости и изживает себя изнутри метафорами и сравнениями вспыхнул свет словно зажгли электричество созданный как роман о доме и поиске его дом на краю света это поиск себя гомосексуализм тема модная в америке майкл каннингем нарушает стереотипы описывая зарождение любви друг к другу джонатана и бобби но она лишь фон для более значительной темы потерянности и одиночества и поиске дома на краю света хотя все это немного скучновато хотя и красиво затянуто рафинированно хотя и умно,8
